,unique_image_label,trial_index,time_elapsed,value,correct_answer,proportion_correct,confidence,Unnamed: 0,Percent Correct,Confidence,proportion_correct_shifted,Number of blobs,Percent correct
0,STIM_SET_1/1159440.bmp_pp98_L1,274.5,688874.95,,,,,,,,0.8,12.0,80.0
1,STIM_SET_1/1159446.bmp_pp60_L3,277.3,710129.05,,,,,,,,0.8,12.0,80.0
2,STIM_SET_1/1159447.bmp_pp70_L2,312.0,778756.15,,,,,,,,0.7,11.0,70.0
3,STIM_SET_1/1159515.bmp_pp84_L3,256.6,656656.2,,,,,,,,0.7,9.0,70.0
4,STIM_SET_1/1159572.bmp_pp71_L1,303.8,773444.55,,,,,,,,0.65,11.0,65.0
5,STIM_SET_1/1159621.bmp_pp92_L3,297.9,730170.3,,,,,,,,0.85,11.0,85.0
6,STIM_SET_1/1159675.bmp_pp77_L3,295.2,746960.8,,,,,,,,0.6,7.0,60.0
7,STIM_SET_1/1159768.bmp_pp89_L1,288.4,730381.8,,,,,,,,0.6,10.0,60.0
8,STIM_SET_1/1159777.bmp_pp77_L3,369.6,853830.25,,,,,,,,0.85,7.0,85.0
9,STIM_SET_1/1159784.bmp_pp73_L3,294.7,742321.55,,,,,,,,0.7,12.0,70.0
10,STIM_SET_1/1159813.bmp_pp79_L2,294.0,756843.95,,,,,,,,0.5,8.0,50.0
11,STIM_SET_1/1159829.bmp_pp91_L3,317.0,750940.75,,,,,,,,0.45,10.0,45.0
12,STIM_SET_1/1159855.bmp_pp99_L2,258.6,649613.85,,,,,,,,0.85,13.0,85.0
13,STIM_SET_1/1159882.bmp_pp61_L2,297.2,758868.35,,,,,,,,0.45,11.0,45.0
14,STIM_SET_1/1160127.bmp_pp90_L2,294.3,710903.55,,,,,,,,0.45,13.0,45.0
15,STIM_SET_1/1160168.bmp_pp53_L2,347.6,848053.25,,,,,,,,0.6,9.0,60.0
16,STIM_SET_1/1591876.bmp_pp63_L1,353.2,859547.0,,,,,,,,0.85,12.0,85.0
17,STIM_SET_1/1591954.bmp_pp62_L2,287.6,703617.5,,,,,,,,0.6,13.0,60.0
18,STIM_SET_1/1591961.bmp_pp67_L2,311.8,730406.45,,,,,,,,0.6,8.0,60.0
19,STIM_SET_1/1591994.bmp_pp69_L3,207.7,564384.8,,,,,,,,0.5,6.0,50.0
20,STIM_SET_1/1592133.bmp_pp75_L1,313.2,786970.65,,,,,,,,0.65,9.0,65.0
21,STIM_SET_1/1592286.bmp_pp52_L1,284.0,744844.15,,,,,,,,0.6,10.0,60.0
22,STIM_SET_1/1592351.bmp_pp51_L1,313.6,787725.7,,,,,,,,0.75,11.0,75.0
23,STIM_SET_1/1592362.bmp_pp95_L2,337.5,804078.2,,,,,,,,0.65,7.0,65.0
24,STIM_SET_1/1592372.bmp_pp76_L1,275.7,685004.7,,,,,,,,0.7,12.0,70.0
25,STIM_SET_1/1592397.bmp_pp85_L3,291.3,744614.1,,,,,,,,0.35,8.0,35.0
26,STIM_SET_1/1592499.bmp_pp96_L2,215.4,561603.45,,,,,,,,0.65,11.0,65.0
27,STIM_SET_1/1592581.bmp_pp100_L,255.0,627217.55,,,,,,,,0.6,7.0,60.0
28,STIM_SET_1/1592619.bmp_pp56_L3,329.9,774231.35,,,,,,,,0.75,12.0,75.0
29,STIM_SET_1/1592657.bmp_pp98_L1,299.3,730281.85,,,,,,,,0.6,9.0,60.0
30,STIM_SET_1/1592727.bmp_pp59_L3,298.8,758435.7,,,,,,,,0.75,10.0,75.0
31,STIM_SET_1/1592804.bmp_pp91_L3,336.0,808283.1,,,,,,,,0.6,14.0,60.0
32,STIM_SET_1/1592807.bmp_pp68_L1,346.0,838285.7,,,,,,,,0.5,9.0,50.0
33,STIM_SET_1/1592817.bmp_pp55_L3,228.3,592337.95,,,,,,,,0.75,10.0,75.0
34,STIM_SET_1/1592890.bmp_pp82_L2,337.6,825676.05,,,,,,,,0.4,9.0,40.0
35,STIM_SET_1/1592934.bmp_pp63_L1,328.4,815961.6,,,,,,,,0.55,10.0,55.0
36,STIM_SET_1/1593035.bmp_pp94_L2,240.7,624967.75,,,,,,,,0.75,11.0,75.0
37,STIM_SET_1/1593041.bmp_pp58_L1,341.7,827097.15,,,,,,,,0.45,12.0,45.0
38,STIM_SET_1/1593146.bmp_pp93_L1,315.5,776401.4,,,,,,,,0.55,9.0,55.0
39,STIM_SET_1/285751.bmp_pp55_L3_,277.9,695911.2,,,,,,,,0.65,10.0,65.0
40,STIM_SET_1/285905.bmp_pp57_L1_,228.6,590446.8,,,,,,,,0.75,11.0,75.0
41,STIM_SET_1/285933.bmp_pp81_L1_,273.7,702565.75,,,,,,,,0.8,11.0,80.0
42,STIM_SET_1/285994.bmp_pp92_L3_,229.7,567812.45,,,,,,,,0.55,8.0,55.0
43,STIM_SET_1/286001.bmp_pp54_L2_,274.4,691481.75,,,,,,,,0.55,11.0,55.0
44,STIM_SET_1/497950.bmp_pp151_L1,293.6,724723.25,,,,,,,,0.8,10.0,80.0
45,STIM_SET_1/498111.bmp_pp88_L2_,274.5,666966.1,,,,,,,,0.7,12.0,70.0
46,STIM_SET_1/498149.bmp_pp99_L2_,292.3,748421.65,,,,,,,,0.65,11.0,65.0
47,STIM_SET_1/498155.bmp_pp61_L2_,239.0,623103.05,,,,,,,,0.55,12.0,55.0
48,STIM_SET_1/498170.bmp_pp153_L3,319.6,791011.0,,,,,,,,0.55,7.0,55.0
49,STIM_SET_1/498175.bmp_pp154_L1,250.6,616620.0,,,,,,,,0.9,11.0,90.0
50,STIM_SET_1/498253.bmp_pp67_L2_,334.4,791789.4,,,,,,,,0.7,13.0,70.0
51,STIM_SET_1/61537.bmp_pp73_L3_V,264.1,673989.45,,,,,,,,0.75,12.0,75.0
52,STIM_SET_1/712977.bmp_pp51_L1_,385.5,931983.8,,,,,,,,0.5,14.0,50.0
53,STIM_SET_1/713017.bmp_pp152_L2,281.9,715420.5,,,,,,,,0.55,11.0,55.0
54,STIM_SET_1/713089.bmp_pp60_L3_,303.4,767463.6,,,,,,,,0.7,11.0,70.0
55,STIM_SET_1/713135.bmp_pp54_L2_,249.3,649786.4,,,,,,,,0.7,11.0,70.0
56,STIM_SET_1/713211.bmp_pp100_L3,283.5,725719.85,,,,,,,,0.9,12.0,90.0
57,STIM_SET_1/713371.bmp_pp68_L1_,283.6,705971.45,,,,,,,,0.45,7.0,45.0
58,STIM_SET_1/713403.bmp_pp80_L3_,265.5,683253.45,,,,,,,,0.8,12.0,80.0
59,STIM_SET_1/713513.bmp_pp62_L2_,289.8,717343.95,,,,,,,,0.45,11.0,45.0
60,STIM_SET_1/713593.bmp_pp64_L1_,271.3,693672.7,,,,,,,,0.8,13.0,80.0
61,STIM_SET_1/713620.bmp_pp65_L3_,292.0,732571.95,,,,,,,,0.75,10.0,75.0
62,STIM_SET_1/713666.bmp_pp97_L3_,320.7,767281.25,,,,,,,,0.55,10.0,55.0
63,STIM_SET_1/713681.bmp_pp86_L2_,301.9,734744.1,,,,,,,,0.75,7.0,75.0
64,STIM_SET_1/713684.bmp_pp85_L3_,319.2,768276.4,,,,,,,,0.5,6.0,50.0
65,STIM_SET_1/713707.bmp_pp154_L1,320.6,815670.35,,,,,,,,0.4,8.0,40.0
66,STIM_SET_1/713749.bmp_pp88_L2_,301.3,742380.25,,,,,,,,0.5,11.0,50.0
67,STIM_SET_1/713760.bmp_pp81_L1_,309.3,756317.3,,,,,,,,0.65,9.0,65.0
68,STIM_SET_1/713779.bmp_pp152_L2,298.6,736572.4,,,,,,,,0.6,7.0,60.0
69,STIM_SET_1/713796.bmp_pp84_L3_,253.3,665627.2,,,,,,,,0.6,8.0,60.0
