,list,image,subject,sub_version
0,1.0,713920.bmp,pp76,1.0
1,1.0,1592568.bmp,pp71,1.0
2,1.0,1159819.bmp,pp151,1.0
3,1.0,285932.bmp,pp64,1.0
4,1.0,1591781.bmp,pp63,1.0
5,1.0,713788.bmp,pp52,1.0
6,1.0,1159973.bmp,pp98,1.0
7,1.0,1592857.bmp,pp154,1.0
8,1.0,498025.bmp,pp81,1.0
9,1.0,1592530.bmp,pp75,1.0
10,1.0,713770.bmp,pp89,1.0
11,1.0,285959.bmp,pp93,1.0
12,1.0,713633.bmp,pp58,1.0
13,1.0,498258.bmp,pp51,1.0
14,1.0,713858.bmp,pp57,1.0
15,1.0,1592025.bmp,pp68,1.0
16,2.0,713381.bmp,pp82,1.0
17,2.0,1592567.bmp,pp70,1.0
18,2.0,285946.bmp,pp79,1.0
19,2.0,107955.bmp,pp90,1.0
20,2.0,498396.bmp,pp99,1.0
21,2.0,1160049.bmp,pp53,1.0
22,2.0,1160204.bmp,pp54,1.0
23,2.0,1159874.bmp,pp96,1.0
24,2.0,1159575.bmp,pp62,1.0
25,2.0,1591975.bmp,pp88,1.0
26,2.0,713328.bmp,pp86,1.0
27,2.0,1159860.bmp,pp152,1.0
28,2.0,1592044.bmp,pp94,1.0
29,2.0,1159325.bmp,pp67,1.0
30,2.0,107909.bmp,pp95,1.0
31,2.0,1159329.bmp,pp61,1.0
32,3.0,1159648.bmp,pp85,1.0
33,3.0,498261.bmp,pp84,1.0
34,3.0,1592150.bmp,pp77,1.0
35,3.0,1592201.bmp,pp97,1.0
36,3.0,150463.bmp,pp55,1.0
37,3.0,1592305.bmp,pp65,1.0
38,3.0,713742.bmp,pp91,1.0
39,3.0,713689.bmp,pp153,1.0
40,3.0,1592314.bmp,pp100,1.0
41,3.0,1592951.bmp,pp80,1.0
42,3.0,713274.bmp,pp73,1.0
43,3.0,713829.bmp,pp60,1.0
44,3.0,1592298.bmp,pp56,1.0
45,3.0,286034.bmp,pp69,1.0
46,3.0,1592289.bmp,pp92,1.0
47,3.0,1159956.bmp,pp59,1.0
48,1.0,1592017.bmp,pp154,1.0
49,3.0,498170.bmp,pp92,1.0
50,2.0,1159392.bmp,pp96,1.0
51,1.0,498398.bmp,pp81,1.0
52,3.0,1592921.bmp,pp69,1.0
53,3.0,1159592.bmp,pp91,1.0
54,1.0,1159508.bmp,pp151,1.0
55,1.0,1592168.bmp,pp71,1.0
56,3.0,1592129.bmp,pp153,1.0
57,1.0,61513.bmp,pp75,1.0
58,2.0,1159335.bmp,pp86,1.0
59,1.0,1592047.bmp,pp51,1.0
60,3.0,1592350.bmp,pp55,1.0
61,1.0,1160189.bmp,pp64,1.0
62,2.0,1160247.bmp,pp54,1.0
63,1.0,1159427.bmp,pp98,1.0
64,2.0,285715.bmp,pp67,1.0
65,2.0,1592038.bmp,pp79,1.0
66,3.0,285684.bmp,pp80,1.0
67,3.0,150277.bmp,pp65,1.0
68,2.0,1592747.bmp,pp53,1.0
69,1.0,498326.bmp,pp57,1.0
